table,column,sql_type,category,special,confidence,rule
analytics_events,device_id,TEXT,online_identifier,False,0.88,online_id_allowlist
analytics_events,geo_region,TEXT,contact,False,0.6,postal_or_location
analytics_events,ip_address,TEXT,online_identifier,False,0.85,network_or_device
analytics_events,session_id,TEXT,online_identifier,False,0.88,online_id_allowlist
analytics_events,user_agent,TEXT,online_identifier,False,0.85,network_or_device
appointments,clinician_name,TEXT,identity,False,0.86,person_name
audit_log,actor_email,TEXT,contact,False,0.9,electronic_contact
cities,city_name,TEXT,identity,False,0.86,person_name
contacts,contact_name,TEXT,identity,False,0.86,person_name
contacts,contact_phone,TEXT,contact,False,0.9,electronic_contact
health_records,blood_type,TEXT,health,True,0.9,clinical_data
health_records,diagnosis_code,TEXT,health,True,0.9,clinical_data
patients,address_line1,TEXT,contact,False,0.6,postal_or_location
patients,date_of_birth,DATE,identity,False,0.84,birth_or_demographic
patients,email,TEXT,contact,False,0.9,electronic_contact
patients,first_name,TEXT,identity,False,0.86,person_name
patients,last_name,TEXT,identity,False,0.86,person_name
patients,national_insurance_no,TEXT,government_id,False,0.95,state_identifier
patients,phone,TEXT,contact,False,0.9,electronic_contact
patients,postal_code,TEXT,contact,False,0.6,postal_or_location
payments,card_expiry,TEXT,financial,False,0.93,payment_instrument
payments,card_number,TEXT,financial,False,0.93,payment_instrument
